key_2,report_year,comp_name,sec_code,badflag_m4,Finanomalies142,Leverage9,Finanomalies122,Finanomalies101,Finanomalies100,Finanomalies97,Finanomalies112,Finanomalies5,Finanomalies1,Finanomalies32,Finanomalies87,Finanomalies61
天奇自动化工程股份有限公司_20201231,2020,天奇自动化工程股份有限公司,C,0,0.272835275,0.25621308,0.0171102939999999,7.15335844,0.491285575,-0.182604026,0.008981681,0.197428221,0.0450261,0.006612279,0.66504692,0.209212946
广东乐心医疗电子股份有限公司_20201231,2020,广东乐心医疗电子股份有限公司,C,0,0.738367071,0.318359943,0.048397097,6.247846206,8.001913896,1.091563676,0.073103157,0.205626181,0.010042064,0.003147439,0.925366784,0.270616921
广州海鸥住宅工业股份有限公司_20201231,2020,广州海鸥住宅工业股份有限公司,C,0,0.435058758,0.32880332,0.1339308119999999,2.871571972,0.701571315,0.937976596,0.0228409579999999,0.295906034,0.022999411,0.006917814,2.0656948980000003,0.2233032089999999
爱柯迪股份有限公司_20201231,2020,爱柯迪股份有限公司,C,0,0.952216043,0.224466218,0.074015281,0.948974064,472.2277998,0.169465026,0.0097136769999999,0.135721264,0.025790932,0.008952836,0.640871018,0.3612038
深圳开立生物医疗科技股份有限公司_20201231,2020,深圳开立生物医疗科技股份有限公司,C,0,0.951474288,0.131688295,0.113810145,1.753404498,1.217919416,-0.999979489,0.113235349,0.1101345069999999,0.047555753,0.009576746,-0.162918092,0.66984324
沪士电子股份有限公司_20201231,2020,沪士电子股份有限公司,C,0,0.7522978690000001,0.384640343,0.0,3.5054654110000003,0.88288729,1210.266225,0.014475315,0.1824198219999999,0.007668101,0.007606127,0.930604303,0.233820968
昆明龙津药业股份有限公司_20201231,2020,昆明龙津药业股份有限公司,C,0,0.878592162,0.111474309,0.706970832,0.605796019,0.0,0.0,0.025708087,0.053354212,0.095349062,0.019994189,0.0,0.842163041
兰州长城电工股份有限公司_20201231,2020,兰州长城电工股份有限公司,C,0,0.007114655,0.238474438,0.10461273,3.113400902,0.221636117,0.418176034,0.002336236,0.272904523,0.057245045,0.009579909,0.0,0.214346706
株洲飞鹿高新材料技术股份有限公司_20201231,2020,株洲飞鹿高新材料技术股份有限公司,C,0,0.663154667,0.304427479,0.0264137339999999,2.229425733,0.499968381,-0.085857686,0.168031946,0.293501076,0.080833293,0.006025764,0.88921051,0.27606628
河南四方达超硬材料股份有限公司_20201231,2020,河南四方达超硬材料股份有限公司,C,0,0.955638395,0.15002162,0.256986511,0.56550969,0.0,0.023344511,0.0,0.187412204,0.24169306,0.0147472089999999,0.52221878,0.503459147
东莞宜安科技股份有限公司_20201231,2020,东莞宜安科技股份有限公司,C,0,0.705855868,0.293733723,0.013672246,1.744500668,1.386057012,-0.376492006,0.021113291,0.157559398,0.165695938,0.006811113,-0.053290805,0.2364753789999999
华西能源工业股份有限公司_20201231,2020,华西能源工业股份有限公司,C,0,0.603271265,0.2959768889999999,0.139084588,1.576006629,0.085883388,0.121084079,0.0,0.1304225209999999,0.2114471889999999,0.009921777,-16.06863487,0.1846940269999999
河南清水源科技股份有限公司_20201231,2020,河南清水源科技股份有限公司,C,0,0.459950445,0.154034771,0.136942186,4.502514105,0.340111957,1.137038639,0.123714008,0.166521046,0.063147775,0.007843919,-1.962391717,0.308494842
上海韦尔半导体股份有限公司_20201231,2020,上海韦尔半导体股份有限公司,C,0,0.065613307,0.140193646,0.143848928,2.804662273,0.876818036,-0.254364368,0.005467055,0.112073725,0.037621632,0.000943687,0.8838910190000001,0.242733866
宁波旭升汽车技术股份有限公司_20201231,2020,宁波旭升汽车技术股份有限公司,C,0,1.0,0.406289242,0.003015037,1.343723994,6.876708183,-0.1386103169999999,0.189498451,0.091848796,0.034335194,0.004773415,0.8005322340000001,0.40077825
江西三鑫医疗科技股份有限公司_20201231,2020,江西三鑫医疗科技股份有限公司,C,0,0.848591304,0.315580647,0.076833586,8.54330587,0.841682472,-0.0562495509999999,0.077175997,0.075490807,0.0440148509999999,0.009292614,0.568618901,0.3220292999999999
广东好太太科技集团股份有限公司_20201231,2020,广东好太太科技集团股份有限公司,C,0,0.914981409,0.464379217,0.037720903,1.237280013,0.0,9.743226303,0.042057908,0.049504695,0.007423913,0.009185206,2.048136602,0.44158258
